Campaign,Campaign Type,Campaign Status,Networks,Budget,Budget type,Bid Strategy Type,Languages,Location,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Final URL,Final URL suffix,Ad type,Status,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Pastry | Search | Body Wash | ZA | 2026-09,Search,Paused,Google search,150,Daily,Manual CPC,en,South Africa,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_term={keyword}&utm_content={creative},,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Oil,,,,,https://pastryskincare.co.za/products/brightening-body-oil-vitamin-c,,Responsive search ad,Enabled,brightening,body-oil,Brightening Body Oil,Shop Brightening Body Oil,Vitamin C Body Oil R385,Vitamin C & Vitamin E Oil,"For Dull, Uneven-Looking Skin",Glow-Boosting Body Oil,Pastry Brightening Body Oil,Vanilla Nut 100ml,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,"Brightening body oil with vitamin C and vitamin E for dull, uneven-looking skin. R385.",A glow-boosting body oil for melanin-rich skin. Shop Pastry Skincare online.,Layer over Niacinamide Body Lotion for extra nourishment. Made in South Africa.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,5.00,anti pigmentation deodorant,Exact,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,5.00,deodorant for dark underarms,Exact,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,4.50,deodorant for dark underarms,Phrase,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,5.00,best deodorant for dark underarms,Exact,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,5.00,best roll on for dark underarms,Exact,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,4.50,roll on for dark underarms,Exact,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,4.50,dark underarms treatment,Exact,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,4.00,what to use for dark underarms,Exact,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,4.00,dark underarms,Exact,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,4.00,underarm dark spots,Exact,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,4.00,brightening deodorant,Exact,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,,,,https://pastryskincare.co.za/products/anti-pigmentation-deodorant-linen-fresh-fragrance,,Responsive search ad,Enabled,deodorant,dark-underarms,Anti Pigmentation Deodorant,Deodorant For Dark Underarms,Roll-On For Dark Underarms,Salicylic Acid Deodorant R250,Odour Protection & Even Tone,"For Dark, Uneven Underarms",Daily Underarm Roll-On,Pastry Anti-Pigment Deodorant,Fresh Linen Or Fragrance-Free,Made In South Africa,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"Salicylic acid deodorant: odour protection plus care for dark underarms. 50ml, R250.","A daily roll-on for dark, uneven-looking underarms. Fresh linen or fragrance-free.",Made in South Africa for melanin-rich skin. Pair with Glycolic Acid Body Wash.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),,4.50,hyperpigmentation products,Exact,https://pastryskincare.co.za/collections/hyperpigmentation,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),,4.50,hyperpigmentation cream,Exact,https://pastryskincare.co.za/collections/hyperpigmentation,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),,4.50,best products for hyperpigmentation,Exact,https://pastryskincare.co.za/collections/hyperpigmentation,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),,4.00,hyperpigmentation treatment for dark skin,Exact,https://pastryskincare.co.za/collections/hyperpigmentation,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),,4.00,hyperpigmentation treatment for body,Exact,https://pastryskincare.co.za/collections/hyperpigmentation,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),,3.50,products for hyperpigmentation black skin,Exact,https://pastryskincare.co.za/collections/hyperpigmentation,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),,3.50,dark inner thighs,Phrase,https://pastryskincare.co.za/collections/hyperpigmentation,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),,3.50,dark knees and elbows,Phrase,https://pastryskincare.co.za/collections/hyperpigmentation,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),,4.00,body care for hyperpigmentation,Exact,https://pastryskincare.co.za/collections/hyperpigmentation,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Hyperpigmentation Body Care (concern),,,,,https://pastryskincare.co.za/collections/hyperpigmentation,,Responsive search ad,Enabled,even-tone,body-care,Body Care For Dark Marks,Hyperpigmentation Body Care,Even Tone Body Care Range,"Body Wash, Lotion & Serum",For Melanin-Rich Skin,No Bleaching. No Burning.,Niacinamide & Glycolic Acid,"Inner Thighs, Knees & Elbows",Body Care From R205,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,,"Body washes, lotions and serums for dark marks and uneven-looking tone. No bleaching.","Niacinamide, glycolic acid and vitamin C body care made in SA for melanin-rich skin.","Inner thighs, underarms, knees and elbows. Shop the even-tone body care range from R205.",Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Serum,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Serum,,4.00,niacinamide serum,Exact,https://pastryskincare.co.za/products/pigmentation-correction-serum,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Serum,,3.50,niacinamide serum,Phrase,https://pastryskincare.co.za/products/pigmentation-correction-serum,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Serum,,4.00,pigmentation correction serum,Exact,https://pastryskincare.co.za/products/pigmentation-correction-serum,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Serum,,5.00,hyperpigmentation serum,Exact,https://pastryskincare.co.za/products/pigmentation-correction-serum,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Serum,,5.00,best serum for hyperpigmentation,Exact,https://pastryskincare.co.za/products/pigmentation-correction-serum,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Serum,,4.00,serum for dark marks,Exact,https://pastryskincare.co.za/products/pigmentation-correction-serum,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Serum,,,,,https://pastryskincare.co.za/products/pigmentation-correction-serum,,Responsive search ad,Enabled,niacinamide,serum,Niacinamide Serum 5%,Shop Niacinamide Face Serum,Pigmentation Correction Serum,Niacinamide Serum R250,Niacinamide & Alpha Arbutin,For Dark Marks On The Face,Hyaluronic Acid Hydration,Pastry Niacinamide Serum,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,"Face serum with 5% niacinamide, alpha arbutin and hyaluronic acid for dark marks. R250.",Pigmentation Correction Serum: a lightweight daily serum for dark-mark-prone facial skin.,Shop Pastry Skincare face serums online. Made in South Africa for melanin-rich skin.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Dark Spot Corrector,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Dark Spot Corrector,,4.50,dark spot corrector,Exact,https://pastryskincare.co.za/products/evening-pigment-corrector,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Dark Spot Corrector,,4.00,dark spot corrector,Phrase,https://pastryskincare.co.za/products/evening-pigment-corrector,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Dark Spot Corrector,,3.00,evening pigment corrector,Exact,https://pastryskincare.co.za/products/evening-pigment-corrector,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Dark Spot Corrector,,3.50,dark mark corrector,Exact,https://pastryskincare.co.za/products/evening-pigment-corrector,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Dark Spot Corrector,,,,,https://pastryskincare.co.za/products/evening-pigment-corrector,,Responsive search ad,Enabled,pigment,corrector,Evening Pigment Corrector,Dark Spot Corrector R295,Overnight Dark Mark Corrector,For Stubborn Dark Marks,Targeted Night Face Serum,Shop Evening Pigment Corrector,Pastry Pigment Corrector,For Melanin-Rich Skin,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,"Evening Pigment Corrector: an overnight corrector for stubborn dark marks. 30ml, R295.",Apply at night to targeted spots. Pair with Niacinamide Serum by day. Shop online.,Made in South Africa for melanin-rich skin.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Ceramide Serum,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Ceramide Serum,,4.00,ceramide serum,Exact,https://pastryskincare.co.za/products/barrier-repair-serum-ceramide,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Ceramide Serum,,4.00,barrier repair serum,Exact,https://pastryskincare.co.za/products/barrier-repair-serum-ceramide,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Ceramide Serum,,3.50,skin barrier serum,Exact,https://pastryskincare.co.za/products/barrier-repair-serum-ceramide,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Ceramide Serum,,,,,https://pastryskincare.co.za/products/barrier-repair-serum-ceramide,,Responsive search ad,Enabled,ceramide,serum,Barrier Repair Serum,Ceramide Serum 1.5%,Shop Barrier Repair Serum,Ceramide Face Serum R280,"For Sensitive, Stressed Skin",Supports The Skin Barrier,Pastry Ceramide Serum,"Calm, Comfortable Skin",Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,Barrier Repair Serum with 1.5% ceramide for sensitive or over-exfoliated skin. R280.,A daily face serum that supports the skin barrier. Shop Pastry Skincare online.,Made in South Africa for melanin-rich skin.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Sunscreen,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Sunscreen,,4.00,niacinamide sunscreen,Exact,https://pastryskincare.co.za/products/niacinamide-spf50-sunscreen,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Sunscreen,,3.00,niacinamide spf50 sunscreen,Exact,https://pastryskincare.co.za/products/niacinamide-spf50-sunscreen,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Sunscreen,,3.00,spf50 gel sunscreen,Exact,https://pastryskincare.co.za/products/niacinamide-spf50-sunscreen,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,Niacinamide Sunscreen,,,,,https://pastryskincare.co.za/products/niacinamide-spf50-sunscreen,,Responsive search ad,Enabled,niacinamide,sunscreen,Niacinamide SPF50 Sunscreen,Shop Niacinamide Sunscreen,SPF50 Gel Sunscreen R465,Lightweight Daily SPF50,Niacinamide & Hyaluronic Acid,For Dark-Mark-Prone Skin,Pastry SPF50 Sunscreen,Gel Texture For Daily Wear,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,"Lightweight SPF50 gel sunscreen with niacinamide and hyaluronic acid. 80ml, R465.","Daily sun protection for dark-mark-prone, melanin-rich skin. Shop Pastry Skincare online.",Made in South Africa. Pair with Niacinamide Serum for your morning routine.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,,,,face,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,,,,facial,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,,,,face serum,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,,,,face wash,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,,,,face cream,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,,,,eye,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,,,,lip,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,,,,lips,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,,,,face,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,,,,facial,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,,,,face serum,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,,,,face wash,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,,,,face cream,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,,,,eye,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,,,,lip,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,,,,lips,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,,,,face,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,,,,facial,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,,,,face serum,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,,,,face wash,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,,,,face cream,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,,,,eye,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,,,,lip,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,,,,lips,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,,,,body,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,,,,body wash,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,,,,body lotion,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,,,,underarm,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,,,,underarms,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,,,,inner thigh,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,,,,inner thighs,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,,,,knees,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Face Serums | ZA | 2026-09,,,,,,,,,,,,elbows,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,,how to get rid of,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,,how to remove,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,,how to lighten,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,,baking soda,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,,colgate,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,,coconut oil,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Concern Intent | ZA | 2026-09,,,,,,,,,Dark Underarms (deodorant),,,aloe vera,Negative Phrase,,,,,,,,,,,,,,,,,,,,,,,,,
